channel_name,channel_type,country,country_rank,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income,channel_age
MrBeast,entertainment,US,1.0,12.130568627108696,7.822789358193384,7.781351473504217,1.0,11.0,2.0,18.730564607422608,6000000.0,-0.14441282528427907,23.0,4.276233101454493,7.821561630244092,7.8162277439436165,1.115828167432296
How Ridiculous,sports,AU,4.0,0.035601585093770226,0.3199301869719865,0.31201378975421973,7.0,1177.0,243.0,1.2384726581551964,200000.0,-0.1471094407736608,431.0,0.8492755942676884,0.3199239778649711,0.3110049016757208,1.6355089349866914
boxtoxtv,comedy,DE,5.0,1.2830084477077022,2.0250820146919772,2.02632883718212,29.0,175.0,261.0,1.1133188016158253,800000.0,-0.13092974783737035,319.0,1.0842880408893167,2.0250529013327605,2.0136785782459654,-1.1175202765766379
Sierra & Rhia FAM,entertainment,CA,9.0,1.0765669910062992,3.1718103429131412,3.1765321308615606,164.0,55.0,296.0,0.8482871054148038,700000.0,-0.06665472294489164,260.0,1.2329258345572969,3.171762645206503,3.16877390205514,-0.5734249763183445
Tibo InShape,entertainment,FR,2.0,2.1212858779497625,3.3589036413516666,3.404125778919001,144.0,88.0,275.0,1.0249749028821513,1200000.0,-0.06873691971517375,466.0,0.8283007486796565,3.3588562478874775,3.349257546400324,1.862215310094313
Tsuriki Show,comedy,DE,1.0,0.4509868191838659,0.9218809013604072,0.8786158641046399,12.0,375.0,161.0,1.8863279155354709,400000.0,-0.03716262442810905,37.0,3.229902857331259,0.9218658486193533,0.914975369112443,-0.4519336111965676
شوشع الاسطورة,people,FR,581.0,0.03184810406283563,0.5210102609192134,0.5134049340866832,1268.0,930.0,1705.0,-0.28980317002174877,198000.0,-0.09549826836929128,26383.0,-0.22582047743362607,0.520999396739144,0.5123524553072076,-1.1006626230429941
Borzah,entertainment,CA,108.0,,-1.4359696706359926,-0.5041617188361619,753.0,134.0,969.0,-0.04619486926364329,,-0.10587511784741849,9161.0,-0.1455704818130049,-1.4359528302298359,-0.5040682603693454,-0.5774940651023275
Cocomelon - Nursery Rhymes,entertainment,US,2.0,1.7021471628287326,,-0.5041617188361619,1.0,12.0,4.0,12.546491696065441,1000000.0,-0.1315783009297533,2.0,16.571600236687534,,-0.5040682603693454,
Vindooly,games,AU,73.0,0.014957439423629931,0.14831035041396132,0.14028994302772127,492.0,1566.0,1005.0,-0.06680844563483383,190000.0,-0.15001086250274243,6071.0,-0.08822989569107247,0.14830576061147677,0.1384715618639426,1.5988871359308447
Bounce Patrol - Kids Songs,music,AU,1.0,-0.17271661212310005,0.2754795823282915,0.26751284334527214,60.0,1761.0,169.0,1.8053460083629365,100000.0,-0.15888579955640386,136.0,1.7953681469799225,0.27547251255894795,0.272291159963679,
Stokes Twins,people,US,19.0,18.761718448426485,3.7655586151090903,3.7528789380022616,2.0,13.0,57.0,3.3955361855690644,9200000.0,-0.1613776088060857,856.0,0.49082798575283865,3.7675879943347765,3.764369928394246,1.935458908206007
