,matchId,playerId,interveningOpponents,interveningTeammates,minute,second,outcome,converted_seconds,distance,angle,angle_degrees,interferenceOnShooter_encoded,bodyPart_head,bodyPart_left foot,bodyPart_other,bodyPart_right foot,playType_free kick,playType_olimpico,playType_open play,playType_penalty
107,m_205,p_1,2,0,36.0,52,blocked shot,1.0,5.089214084708955,0.19778091628552627,11.332011771390906,2.0,False,False,True,False,False,False,True,False
108,m_57,p_58,2,0,25.0,34,blocked shot,1.0,10.15728802387724,-0.43061997578374345,-24.672707186434213,3.0,False,False,False,True,False,False,True,False
109,m_156,p_70,3,0,70.0,51,blocked shot,1.0,24.20983684372945,-0.20760259357161093,-11.894752427623061,3.0,False,True,False,False,False,False,True,False
110,m_30,p_4,1,0,58.0,28,missed chance,1.0,9.595337409387959,0.4869534117971292,27.900375315471496,1.0,True,False,False,False,False,False,True,False
111,m_161,p_105,3,0,88.0,59,goal,1.0,10.496828092333418,-0.0715110892988678,-4.09728360520827,1.0,False,True,False,False,False,False,True,False
112,m_216,p_149,2,1,56.0,42,missed chance,1.0,15.532597979732818,-0.09672183206521198,-5.541752764109762,1.0,False,False,False,True,False,False,True,False
113,m_54,p_107,2,0,40.0,32,missed chance,1.0,9.278496645470106,0.6331544204715711,36.27707607307256,2.0,False,False,False,True,False,False,True,False
114,m_98,p_97,3,0,51.0,53,missed chance,1.0,21.338249693918197,0.526354034525301,30.15786470798297,2.0,False,False,False,True,False,False,True,False
115,m_125,p_154,2,0,68.0,9,goal,1.0,5.210575783922541,-0.292008265010198,-16.730841168022017,1.0,True,False,False,False,False,False,True,False
116,m_65,p_99,3,0,83.0,49,hit the post,1.0,8.359455723909303,-0.3024566945625591,-17.32949208391207,2.0,True,False,False,False,False,False,True,False
117,m_155,p_92,4,1,77.0,59,missed chance,1.0,25.052874086619283,-0.38806682900902756,-22.23459147124226,2.0,False,False,False,True,False,False,True,False
118,m_237,p_16,3,0,36.0,0,blocked shot,0.0,19.214642853823747,-0.03904264995516699,-2.2369790634377016,2.0,False,False,False,True,False,False,True,False
