channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income
@abpmajhatv,https://youtube.com/@abpmajhatv,ABP MAJHA,news,IN,155th,"Jul 30th, 2014",10000.0,13091206.0,744650.0,32nd,370th,https://socialblade.com/youtube/channel/UCH7nv1A9xIrAifZJNvt7cgA,326th,13100000.0,300K,391299.0,438th,12121260849.0,392736000.0,9150000.0
@nwachukwchibuike,https://youtube.com/@nwachukwchibuike,Dj Dubye,N/A,NG,250th,"Aug 9th, 2021",434.0,188842.0,10950.0,--,"94,976th",https://socialblade.com/youtube/channel/UCbV6417yc9fRskgAr-feenw,"1,992nd",335000.0,13K,575.0,"120,611th",139251459.0,5665000.0,131500.0
@homeanimations,https://youtube.com/@homeanimations,HomeAnimations - Мультики про т�…,games,RU,25th,"Sep 1st, 2015",3330.0,2852222.0,165500.0,91st,"4,778th",https://socialblade.com/youtube/channel/UC-Bc-4nV2-Tk4Af2rqrmrjA,352nd,10500000.0,100K,1064.0,"1,563rd",5592599923.0,85567000.0,1966800.0
N/A,N/A,Altuba Media,N/A,AF,184th,"May 20th, 2015",30.0,7712.0,447.5,--,"661,787th",https://socialblade.com/youtube/channel/UCHAZRVbsh7eBYpBwcwpof6w,"5,597th",23000.0,900,315.0,"1,336,925th",6485242.0,231333.0,5366.0
@dior,https://youtube.com/@dior,Christian Dior,howto,FR,96th,"Oct 14th, 2005",,997804.0,57900.0,297th,"15,589th",https://socialblade.com/youtube/channel/UC6xD-jKli-_qIYXDTsNv4dw,"1,007th",3600000.0,--,1554.0,"21,891st",749625499.0,29934000.0,690850.0
@highub,https://youtube.com/@highub,HigHub,N/A,FI,93rd,"Jan 18th, 2023",134.0,73302.0,4250.0,--,"171,667th",https://socialblade.com/youtube/channel/UCz0bl7ef54_3P1rxVnu6CmQ,"1,929th",391000.0,4K,126.0,"104,218th",162632987.0,2199000.0,51050.0
@anastasioeric,https://youtube.com/@anastasioeric,Anastasio Eric,music,BE,236th,"May 6th, 2017",134.0,147377.0,8550.0,"1,678th","116,464th",https://socialblade.com/youtube/channel/UCR_4Yjh4BD8BTc3zh8X9Knw,"2,123rd",221000.0,4K,512.0,"143,416th",115067120.0,4421000.0,102600.0
@kittens71,https://youtube.com/@kittens71,Kittens,N/A,RU,453rd,"Jul 15th, 2019",6430.0,5765023.0,334400.0,--,"4,801st",https://socialblade.com/youtube/channel/UCpehSsk5eksZXMVlfcsJcDw,"1,272nd",1090000.0,193K,620.0,"8,779th",1621638820.0,172951000.0,4036100.0
@machinehacker2022,https://youtube.com/@machinehacker2022,MACHINE HACKER ?,N/A,DE,808th,"Apr 19th, 2022",1500.0,1681091.0,97550.0,--,"11,678th",https://socialblade.com/youtube/channel/UCHziQdupqX58ddFNf1DV21g,"2,010th",328000.0,45K,8008.0,"59,237th",303848908.0,50433000.0,1168850.0
@brennan.rogers,https://youtube.com/@brennan.rogers,Brennan Rogers,music,CA,152nd,"Jan 26th, 2023",1000.0,1418717.0,82300.0,680th,"10,805th",https://socialblade.com/youtube/channel/UC4xHcg7a7hMoHgXerjRKiyA,"1,058th",3100000.0,30K,402.0,"4,749th",2558612616.0,42561000.0,1008100.0
@royalartstv,https://youtube.com/@royalartstv,Royal Arts TV,entertainment,NG,212th,"Sep 24th, 2015",834.0,126899.0,7383.0,"1,656th","97,329th",https://socialblade.com/youtube/channel/UCHtfUf-9779RPujVXixJ7Tw,"1,923rd",400000.0,25K,230.0,"219,355th",70604835.0,3807000.0,88350.0
@faruk_yt_______9t9,https://youtube.com/@faruk_yt_______9t9,Faruk_YT_______9T9,N/A,IN,965th,"Mar 27th, 2023",37000.0,14396962.0,849150.0,--,372nd,https://socialblade.com/youtube/channel/UCCi7oxol1-VM6mVnGmhXkXg,"1,274th",1170000.0,1.11M,107.0,"44,895th",441548851.0,431909000.0,10050000.0
@howtoanimating,https://youtube.com/@howtoanimating,HowToAnimating,N/A,US,"1,088th","Sep 23rd, 2017",17800.0,10435656.0,585600.0,--,403rd,https://socialblade.com/youtube/channel/UC4i3GLAG0G9IH-VT9GxOmrQ,"1,336th",1030000.0,534K,1723.0,"35,534th",528982452.0,313070000.0,7277350.0
@adityamusic,https://youtube.com/@adityamusic,Aditya Music,music,IN,48th,"May 1st, 2008",13300.0,12990260.0,744350.0,50th,353rd,https://socialblade.com/youtube/channel/UCNApqoVYJbYSrni4YsbXzyQ,145th,32000000.0,400K,23524.0,61st,29607451991.0,389708000.0,9050000.0
@tiiwtiiwofficiel,https://youtube.com/@tiiwtiiwofficiel,Iliass TiiwTiiw,music,BE,5th,"Jan 3rd, 2012",334.0,155020.0,9000.0,505th,"112,265th",https://socialblade.com/youtube/channel/UCBOGNP-uP69PV7Ufh7da7Rw,867th,4950000.0,10K,36.0,"9,677th",1483546391.0,4651000.0,107900.0
